converged SCF energy = -12.7202055423917
RMP2 energy = -0.895838839268667
         255058 function calls (247388 primitive calls) in 0.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pyscf_mp2.py:3(<module>)
      885    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.002    0.002 dataset.py:12(<module>)
        8    0.001    0.000    0.002    0.000 enum.py:124(__new__)
      410    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
        1    0.000    0.000    0.002    0.002 minpack.py:1(<module>)
      595    0.000    0.000    0.002    0.000 numeric.py:495(asanyarray)
      134    0.000    0.000    0.002    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dfmp2_testing.py:3(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 diis.py:26(__init__)
        1    0.000    0.000    0.002    0.002 diis.py:87(__init__)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 result.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.BufferedReader' objects}
        2    0.002    0.001    0.002    0.001 {built-in method posix.read}
       42    0.000    0.000    0.002    0.000 lapack.py:520(get_lapack_funcs)
      369    0.001    0.000    0.002    0.000 functools.py:44(update_wrapper)
       34    0.000    0.000    0.002    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
     2599    0.001    0.000    0.002    0.000 enum.py:515(__new__)
       54    0.000    0.000    0.002    0.000 _util.py:192(_asarray_validated)
       45    0.000    0.000    0.002    0.000 blas.py:297(_get_funcs)
      410    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.002    0.002 configparser.py:559(RawConfigParser)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 os.py:968(popen)
       26    0.001    0.000    0.002    0.000 numpy_helper.py:61(unpack_tril)
        1    0.000    0.000    0.002    0.002 ccompiler.py:4(<module>)
        1    0.000    0.000    0.002    0.002 pyscf_cc.py:3(<module>)
      496    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
       12    0.002    0.000    0.002    0.000 group.py:310(__delitem__)
        1    0.001    0.001    0.002    0.002 chkfile.py:86(saveasgroup)
       10    0.000    0.000    0.002    0.000 __init__.py:332(__init__)
      286    0.001    0.000    0.002    0.000 function_base.py:4533(add_newdoc)
        1    0.000    0.000    0.002    0.002 __init__.py:134(<module>)
     2290    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
     6067    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
       26    0.000    0.000    0.002    0.000 __init__.py:422(__getitem__)
        1    0.000    0.000    0.002    0.002 ump2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:415(__getattr__)
        1    0.000    0.000    0.002    0.002 hf_symm.py:14(<module>)
      134    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.002    0.002 __init__.py:47(<module>)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
     1665    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       55    0.001    0.000    0.001    0.000 function_base.py:1170(asarray_chkfinite)
       31    0.001    0.000    0.001    0.000 numpy_helper.py:575(direct_sum)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      883    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       65    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 dataset.py:186(Dataset)
      883    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 linalg_helper.py:1135(cho_solve)
       10    0.001    0.000    0.001    0.000 {built-in method _ctypes.dlopen}
        1    0.001    0.001    0.001    0.001 basic.py:42(solve)
        7    0.000    0.000    0.001    0.000 nonlin.py:1499(_nonlin_wrapper)
        1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.001    0.001 tempfile.py:451(__del__)
        1    0.000    0.000    0.001    0.001 tempfile.py:441(close)
     2975    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 compat.py:3(<module>)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
      191    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7f896d87dd60}
       14    0.001    0.000    0.001    0.000 base.py:33(is_hdf5)
  573/293    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       45    0.000    0.000    0.001    0.000 blas.py:236(find_best_blas_type)
      135    0.000    0.000    0.001    0.000 einsumfunc.py:824(einsum)
       26    0.000    0.000    0.001    0.000 index_tricks.py:858(diag_indices_from)
        1    0.000    0.000    0.001    0.001 mole.py:2413(_update_from_cmdargs_)
        1    0.000    0.000    0.001    0.001 cmd_args.py:12(cmd_args)
       91    0.000    0.000    0.001    0.000 base.py:109(_e)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        2    0.000    0.000    0.001    0.001 incore.py:6(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
     2722    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
       50    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        7    0.000    0.000    0.001    0.000 decorator.py:202(create)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.001    0.001 uccsd.py:3(<module>)
        2    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        6    0.000    0.000    0.001    0.000 _threadsafety.py:54(decorator)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:43(decorate)
        6    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
      280    0.000    0.000    0.001    0.000 _internal.py:259(data_as)
     1354    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.001    0.001 direct_spin0.py:21(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
10141/9973    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      820    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      122    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
       26    0.001    0.000    0.001    0.000 group.py:326(__contains__)
     2975    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
      947    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 base.py:12(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1604(__init__)
      135    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.c_einsum}
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
       23    0.000    0.000    0.001    0.000 shape_base.py:182(vstack)
      155    0.001    0.000    0.001    0.000 enum.py:351(__setattr__)
       53    0.001    0.000    0.001    0.000 filters.py:73(generate_dcpl)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
      120    0.000    0.000    0.001    0.000 re.py:169(match)
      615    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      137    0.000    0.000    0.001    0.000 enum.py:795(__or__)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.001    0.001    0.001    0.001 numpy_helper.py:263(transpose)
       81    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      338    0.000    0.000    0.001    0.000 numeric.py:424(asarray)
        1    0.000    0.000    0.001    0.001 hf.py:8(<module>)
      285    0.001    0.000    0.001    0.000 __init__.py:484(cast)
        3    0.000    0.000    0.001    0.000 dfmp2.py:78(loop_ao2mo)
        3    0.000    0.000    0.001    0.000 mole.py:508(make_bas_env)
        7    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        3    0.000    0.000    0.001    0.000 arrayprint.py:367(_get_format_function)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
        2    0.001    0.000    0.001    0.000 _ao2mo.py:138(nr_e2)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
       15    0.001    0.000    0.001    0.000 files.py:89(make_fapl)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       81    0.000    0.000    0.001    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.001    0.001 misc.py:450(__init__)
     5514    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 lil.py:2(<module>)
     7057    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
       53    0.001    0.000    0.001    0.000 base.py:119(get_lcpl)
      875    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
       12    0.000    0.000    0.001    0.000 hf.py:1052(get_grad)
       41    0.000    0.000    0.001    0.000 numerictypes.py:962(find_common_type)
        1    0.000    0.000    0.001    0.001 files.py:183(File)
        3    0.000    0.000    0.001    0.000 __init__.py:174(load)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 least_squares.py:1(<module>)
      152    0.000    0.000    0.001    0.000 arrayprint.py:888(__call__)
       12    0.000    0.000    0.001    0.000 hf.py:667(get_grad)
        1    0.000    0.000    0.001    0.001 moleintor.py:6(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       35    0.000    0.000    0.001    0.000 linalg.py:2103(norm)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 direct_spin0_symm.py:19(<module>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
       23    0.000    0.000    0.001    0.000 shape_base.py:234(<listcomp>)
       14    0.000    0.000    0.001    0.000 inspect.py:2176(_signature_from_callable)
       93    0.000    0.000    0.001    0.000 getlimits.py:376(__new__)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
